name;surname;id;class;faculty;department;advisor(id);rank
Safa;Batga;10136;4;The Faculty of Engineering;Chemical Engineering;20013;7
Gokmen;Battal;10137;1;The Faculty of Engineering;Chemical Engineering;20013;8
Fazil Erem;Batuk;10138;3;The Faculty of Engineering;Chemical Engineering;20013;9
Bensu;Batur;10139;3;The Faculty of Engineering;Chemical Engineering;20013;10
Nazim Orhun;Baturalp;10140;4;The Faculty of Engineering;Civil Engineering;20014;1
Safa Ahmet;Baydar;10141;3;The Faculty of Engineering;Civil Engineering;20014;2
Demircan;Baydil;10142;1;The Faculty of Engineering;Civil Engineering;20014;3
Burcin Kubra;Baykal;10143;4;The Faculty of Engineering;Civil Engineering;20014;4
Dervis Haluk;Baykan;10144;3;The Faculty of Engineering;Civil Engineering;20014;5
Taylan Remzi;Baykus;10145;3;The Faculty of Engineering;Civil Engineering;20014;6
Abdulvahap;Bayrakoglu;10146;4;The Faculty of Engineering;Civil Engineering;20014;7
Aygun;Bayram;10147;2;The Faculty of Engineering;Civil Engineering;20014;8
Ayla;Baytin;10148;3;The Faculty of Engineering;Civil Engineering;20014;9
Kubilay Baris;Begic;10149;1;The Faculty of Engineering;Civil Engineering;20014;10
Mustafa Samed;Begenilmis;10150;4;The Faculty of Engineering;Computer Engineering;20015;1
Berfin Dilay;Bekaroglu;10151;1;The Faculty of Engineering;Computer Engineering;20015;2
Ibrahim Onat;Belge;10152;4;The Faculty of Engineering;Computer Engineering;20015;3
Jutenya;Benan;10153;2;The Faculty of Engineering;Computer Engineering;20015;4
Hulki;Bent;10154;3;The Faculty of Engineering;Computer Engineering;20015;5
Mustafa Dogukan;Berberoglu;10155;3;The Faculty of Engineering;Computer Engineering;20015;6
Huner;Berk;10156;2;The Faculty of Engineering;Computer Engineering;20015;7
Buse Gizem;Berker;10157;4;The Faculty of Engineering;Computer Engineering;20015;8
Halime;Beydag;10158;1;The Faculty of Engineering;Computer Engineering;20015;9
Didem;Bicaksiz;10159;3;The Faculty of Engineering;Computer Engineering;20015;10
Lal;Bilgec;10160;3;The Faculty of Engineering;Mechanical Engineering;20016;1
Senay;Bilgen;10161;1;The Faculty of Engineering;Mechanical Engineering;20016;2
Remzi;Bilgi;10162;1;The Faculty of Engineering;Mechanical Engineering;20016;3
Armagan;Bilgic;10163;1;The Faculty of Engineering;Mechanical Engineering;20016;4
celik;Bilgir;10164;1;The Faculty of Engineering;Mechanical Engineering;20016;5
Kubra Tansu;Bilgit;10165;2;The Faculty of Engineering;Mechanical Engineering;20016;6
Uluc Emre;Binbay;10166;4;The Faculty of Engineering;Mechanical Engineering;20016;7
Mehmet Bugrahan;Birgili;10167;2;The Faculty of Engineering;Mechanical Engineering;20016;8
Doguscan;Biriz;10168;2;The Faculty of Engineering;Mechanical Engineering;20016;9
Altan;Boy;10169;2;The Faculty of Engineering;Mechanical Engineering;20016;10
Bengisu;Boya;10170;1;The Faculty of Engineering;Electrical and Electronic Engineering;20017;1
Onur Taylan;Boylu;10171;2;The Faculty of Engineering;Electrical and Electronic Engineering;20017;2
Ayseren;Boyuktas;10172;3;The Faculty of Engineering;Electrical and Electronic Engineering;20017;3
Pekin;Boz;10173;1;The Faculty of Engineering;Electrical and Electronic Engineering;20017;4
Aksu;Bozdag;10174;1;The Faculty of Engineering;Electrical and Electronic Engineering;20017;5
Arkan;Bozdemir;10175;4;The Faculty of Engineering;Electrical and Electronic Engineering;20017;6
Iltem;Boztepe;10176;1;The Faculty of Engineering;Electrical and Electronic Engineering;20017;7
Betul;Bozyer;10177;1;The Faculty of Engineering;Electrical and Electronic Engineering;20017;8
Ogun;Bolge;10178;2;The Faculty of Engineering;Electrical and Electronic Engineering;20017;9
Ibrahim Hakki;Bugey;10179;3;The Faculty of Engineering;Electrical and Electronic Engineering;20017;10
Onay;Bugdaypinari;10180;2;The Faculty of Engineering;Industrial Engineering;20018;1
Cankiz;Bulgan;10181;3;The Faculty of Engineering;Industrial Engineering;20018;2
Arzucan;Bulgur;10182;3;The Faculty of Engineering;Industrial Engineering;20018;3
Asiye;Burabak;10183;4;The Faculty of Engineering;Industrial Engineering;20018;4
Ahmet Yasin;Burak;10184;1;The Faculty of Engineering;Industrial Engineering;20018;5
Yaprak;Bural;10185;2;The Faculty of Engineering;Industrial Engineering;20018;6
Aleda;Buyuran;10186;3;The Faculty of Engineering;Industrial Engineering;20018;7
Can Guney;Bulbul;10187;3;The Faculty of Engineering;Industrial Engineering;20018;8
Mahmut Bilal;Bulend;10188;1;The Faculty of Engineering;Industrial Engineering;20018;9
Saliha Zeynep;Bulent;10189;3;The Faculty of Engineering;Industrial Engineering;20018;10
Melike Dilara;Buyukfirat;10190;3;The School of Applied Disciplines;International Trade;20019;1
Hayriye;Buyukgungor;10191;2;The School of Applied Disciplines;International Trade;20019;2
Sebiha;Buyukozturk;10192;4;The School of Applied Disciplines;International Trade;20019;3
Mehmet;Can Akcaozoglu;10193;2;The School of Applied Disciplines;International Trade;20019;4
Mehmet Enes;Canan;10194;1;The School of Applied Disciplines;International Trade;20019;5
Kurtbey;Canbagi;10195;4;The School of Applied Disciplines;International Trade;20019;6
Mustafa Taha;Canbek;10196;3;The School of Applied Disciplines;International Trade;20019;7
Sena Nur;Candan;10197;4;The School of Applied Disciplines;International Trade;20019;8
Abdullah Emirhan;Caner;10198;3;The School of Applied Disciplines;International Trade;20019;9
Mustafa Kerem;Cansu;10199;1;The School of Applied Disciplines;International Trade;20019;10
Doktora;Canuyar;10200;1;The School of Applied Disciplines;Management Information Systems;20020;1
Seyit;Ceran;10201;2;The School of Applied Disciplines;Management Information Systems;20020;2
Selma Simge;Ceylan;10202;1;The School of Applied Disciplines;Management Information Systems;20020;3
Askim;Chiklyaukova;10203;2;The School of Applied Disciplines;Management Information Systems;20020;4
ozgur;Choi;10204;1;The School of Applied Disciplines;Management Information Systems;20020;5
Tugce;Cibooglu;10205;3;The School of Applied Disciplines;Management Information Systems;20020;6
ozer Seckin;Ciddi;10206;3;The School of Applied Disciplines;Management Information Systems;20020;7
Balkin;Cigerlioglu;10207;3;The School of Applied Disciplines;Management Information Systems;20020;8
Yucel;Civan;10208;3;The School of Applied Disciplines;Management Information Systems;20020;9
sansal;Cosan;10209;3;The School of Applied Disciplines;Management Information Systems;20020;10
Oguzcan;Cosandal;10210;4;The School of Applied Disciplines;Tourism Administration;20021;1
Mayis;Cumali;10211;1;The School of Applied Disciplines;Tourism Administration;20021;2
Busra;Cuce;10212;3;The School of Applied Disciplines;Tourism Administration;20021;3
Afra Selcen;cagan;10213;1;The School of Applied Disciplines;Tourism Administration;20021;4
Gonul;cagatay;10214;4;The School of Applied Disciplines;Tourism Administration;20021;5
Dogangun;caglar;10215;4;The School of Applied Disciplines;Tourism Administration;20021;6
Elif Ege;caglayan;10216;3;The School of Applied Disciplines;Tourism Administration;20021;7
ozen;cakan;10217;2;The School of Applied Disciplines;Tourism Administration;20021;8
Dilhan;cakanel;10218;4;The School of Applied Disciplines;Tourism Administration;20021;9
Maral;cakici;10219;4;The School of Applied Disciplines;Tourism Administration;20021;10
Mahire;calim;10220;1;The School of Foreign Languages;Advanced English Unit;20022;1
Haci Bayram Ufuk;camas;10221;3;The School of Foreign Languages;Advanced English Unit;20022;2
Oltun;canga;10222;4;The School of Foreign Languages;Advanced English Unit;20022;3
onel;capa;10223;3;The School of Foreign Languages;Advanced English Unit;20022;4
Bayulken;caprak;10224;3;The School of Foreign Languages;Advanced English Unit;20022;5
Dilseren;carici;10225;4;The School of Foreign Languages;Advanced English Unit;20022;6
Elif Beyza;cark;10226;2;The School of Foreign Languages;Advanced English Unit;20022;7
Elvan;catal;10227;1;The School of Foreign Languages;Advanced English Unit;20022;8
Esim;caylar;10228;1;The School of Foreign Languages;Advanced English Unit;20022;9
Sena;cekmecelioglu;10229;3;The School of Foreign Languages;Advanced English Unit;20022;10
Muhammed uzeyir;cekmeci;10230;4;The School of Foreign Languages;English Preparatory Division;20023;1
Aydin Mert;celebican;10231;1;The School of Foreign Languages;English Preparatory Division;20023;2
cagkan;celenlioglu;10232;3;The School of Foreign Languages;English Preparatory Division;20023;3
Zumra;celik;10233;4;The School of Foreign Languages;English Preparatory Division;20023;4
Bayar;celik;10234;4;The School of Foreign Languages;English Preparatory Division;20023;5
Gonulgul;celikagi;10235;2;The School of Foreign Languages;English Preparatory Division;20023;6
Ece Pinar;celiker;10236;1;The School of Foreign Languages;English Preparatory Division;20023;7
Mehmet Tarik;celikkol;10237;2;The School of Foreign Languages;English Preparatory Division;20023;8
Elife;cerci;10238;1;The School of Foreign Languages;English Preparatory Division;20023;9
Efecan;cetintas;10239;3;The School of Foreign Languages;English Preparatory Division;20023;10
Ridvan;cikikci;10240;2;The School of Foreign Languages;Modern Languages Unit;20024;1
Hatice Gamze;cinar;10241;1;The School of Foreign Languages;Modern Languages Unit;20024;2
Yansi Hilal;cinaroglu;10242;3;The School of Foreign Languages;Modern Languages Unit;20024;3
Omac;cingir;10243;3;The School of Foreign Languages;Modern Languages Unit;20024;4
Erhan;ciray;10244;2;The School of Foreign Languages;Modern Languages Unit;20024;5
suheda;cicekli;10245;1;The School of Foreign Languages;Modern Languages Unit;20024;6
unkan;cini;10246;1;The School of Foreign Languages;Modern Languages Unit;20024;7
Ahmet Gazi;cintan;10247;1;The School of Foreign Languages;Modern Languages Unit;20024;8
Seher Irem;citfci;10248;3;The School of Foreign Languages;Modern Languages Unit;20024;9
Gurbuz;civici;10249;2;The School of Foreign Languages;Modern Languages Unit;20024;10
